0,1,2,3,4,5,6,7,accuracy,macro avg,weighted avg,corruption,acuraciaPorClasse
"{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.998003992015968, 'recall': 1.0, 'f1-score': 0.999000999000999, 'support': 500.0}","{'precision': 0.9960079840319361, 'recall': 0.998, 'f1-score': 0.997002997002997, 'support': 500.0}","{'precision': 0.9979959919839679, 'recall': 0.996, 'f1-score': 0.996996996996997, 'support': 500.0}",0.999,"{'precision': 0.9990009960039841, 'recall': 0.999, 'f1-score': 0.9989999989999989, 'support': 4000.0}","{'precision': 0.9990009960039841, 'recall': 0.999, 'f1-score': 0.998999998999999, 'support': 4000.0}",Brightness severity 1,"[0.998, 1.0, 1.0, 1.0, 1.0, 1.0, 0.998, 0.996]"
"{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}","{'precision': 0.9940357852882704, 'recall': 1.0, 'f1-score': 0.9970089730807578, 'support': 500.0}","{'precision': 0.9940239043824701, 'recall': 0.998, 'f1-score': 0.9960079840319361, 'support': 500.0}","{'precision': 0.9979879275653923, 'recall': 0.992, 'f1-score': 0.9949849548645938, 'support': 500.0}",0.99825,"{'precision': 0.9982559521545166, 'recall': 0.9982500000000001, 'f1-score': 0.9982499887469107, 'support': 4000.0}","{'precision': 0.9982559521545166, 'recall': 0.99825, 'f1-score': 0.9982499887469107, 'support': 4000.0}",Brightness severity 2,"[0.998, 1.0, 1.0, 1.0, 0.998, 1.0, 0.998, 0.992]"
"{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 0.996, 'f1-score': 0.9979959919839679, 'support': 500.0}","{'precision': 0.9920634920634921, 'recall': 1.0, 'f1-score': 0.9960159362549801, 'support': 500.0}","{'precision': 0.9920318725099602, 'recall': 0.996, 'f1-score': 0.9940119760479041, 'support': 500.0}","{'precision': 0.9959758551307847, 'recall': 0.99, 'f1-score': 0.9929789368104313, 'support': 500.0}",0.9975,"{'precision': 0.9975089024630296, 'recall': 0.9975, 'f1-score': 0.9975002300120352, 'support': 4000.0}","{'precision': 0.9975089024630296, 'recall': 0.9975, 'f1-score': 0.9975002300120352, 'support': 4000.0}",Brightness severity 3,"[0.998, 1.0, 1.0, 1.0, 0.996, 1.0, 0.996, 0.99]"
"{'precision': 0.9940239043824701, 'recall': 0.998, 'f1-score': 0.9960079840319361, 'support': 500.0}","{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 0.988, 'f1-score': 0.993963782696177, 'support': 500.0}","{'precision': 0.9881422924901185, 'recall': 1.0, 'f1-score': 0.9940357852882704, 'support': 500.0}","{'precision': 0.9821428571428571, 'recall': 0.99, 'f1-score': 0.9860557768924303, 'support': 500.0}","{'precision': 0.98989898989899, 'recall': 0.98, 'f1-score': 0.9849246231155779, 'support': 500.0}",0.99425,"{'precision': 0.9942760054893045, 'recall': 0.9942500000000001, 'f1-score': 0.9942483688779238, 'support': 4000.0}","{'precision': 0.9942760054893045, 'recall': 0.99425, 'f1-score': 0.9942483688779239, 'support': 4000.0}",Brightness severity 4,"[0.998, 0.998, 1.0, 1.0, 0.988, 1.0, 0.99, 0.98]"
"{'precision': 0.9292364990689013, 'recall': 0.998, 'f1-score': 0.9623915139826422, 'support': 500.0}","{'precision': 1.0, 'recall': 0.932, 'f1-score': 0.9648033126293996, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.9731958762886598, 'recall': 0.944, 'f1-score': 0.9583756345177665, 'support': 500.0}","{'precision': 0.9689922480620154, 'recall': 1.0, 'f1-score': 0.984251968503937, 'support': 500.0}","{'precision': 0.9717171717171718, 'recall': 0.962, 'f1-score': 0.9668341708542714, 'support': 500.0}","{'precision': 0.9600798403193613, 'recall': 0.962, 'f1-score': 0.961038961038961, 'support': 500.0}",0.97475,"{'precision': 0.9754027044320137, 'recall': 0.97475, 'f1-score': 0.9747119451908722, 'support': 4000.0}","{'precision': 0.9754027044320137, 'recall': 0.97475, 'f1-score': 0.9747119451908722, 'support': 4000.0}",Brightness severity 5,"[0.998, 0.932, 1.0, 1.0, 0.944, 1.0, 0.962, 0.962]"
"{'precision': 1.0, 'recall': 0.996, 'f1-score': 0.9979959919839679, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.9940357852882704, 'recall': 1.0, 'f1-score': 0.9970089730807578, 'support': 500.0}","{'precision': 1.0, 'recall': 0.994, 'f1-score': 0.9969909729187563, 'support': 500.0}","{'precision': 0.9960159362549801, 'recall': 1.0, 'f1-score': 0.998003992015968, 'support': 500.0}","{'precision': 0.9940357852882704, 'recall': 1.0, 'f1-score': 0.9970089730807578, 'support': 500.0}","{'precision': 1.0, 'recall': 0.994, 'f1-score': 0.9969909729187563, 'support': 500.0}",0.998,"{'precision': 0.9980109383539401, 'recall': 0.998, 'f1-score': 0.9979999844998705, 'support': 4000.0}","{'precision': 0.99801093835394, 'recall': 0.998, 'f1-score': 0.9979999844998705, 'support': 4000.0}",Contrast severity 1,"[0.996, 1.0, 1.0, 1.0, 0.994, 1.0, 1.0, 0.994]"
"{'precision': 0.9840319361277445, 'recall': 0.986, 'f1-score': 0.985014985014985, 'support': 500.0}","{'precision': 1.0, 'recall': 0.994, 'f1-score': 0.9969909729187563, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.984251968503937, 'recall': 1.0, 'f1-score': 0.9920634920634921, 'support': 500.0}","{'precision': 0.9979591836734694, 'recall': 0.978, 'f1-score': 0.9878787878787879, 'support': 500.0}","{'precision': 0.9960079840319361, 'recall': 0.998, 'f1-score': 0.997002997002997, 'support': 500.0}","{'precision': 0.9671179883945842, 'recall': 1.0, 'f1-score': 0.983284169124877, 'support': 500.0}","{'precision': 0.9958847736625515, 'recall': 0.968, 'f1-score': 0.9817444219066938, 'support': 500.0}",0.9905,"{'precision': 0.9906567292992778, 'recall': 0.9904999999999999, 'f1-score': 0.9904974782388236, 'support': 4000.0}","{'precision': 0.9906567292992778, 'recall': 0.9905, 'f1-score': 0.9904974782388236, 'support': 4000.0}",Contrast severity 2,"[0.986, 0.994, 1.0, 1.0, 0.978, 0.998, 1.0, 0.968]"
"{'precision': 0.9259962049335864, 'recall': 0.976, 'f1-score': 0.9503407984420643, 'support': 500.0}","{'precision': 1.0, 'recall': 0.948, 'f1-score': 0.973305954825462, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.9671179883945842, 'recall': 1.0, 'f1-score': 0.983284169124877, 'support': 500.0}","{'precision': 0.9874739039665971, 'recall': 0.946, 'f1-score': 0.9662921348314607, 'support': 500.0}","{'precision': 0.9920159680638723, 'recall': 0.994, 'f1-score': 0.993006993006993, 'support': 500.0}","{'precision': 0.9484732824427481, 'recall': 0.994, 'f1-score': 0.970703125, 'support': 500.0}","{'precision': 0.9790794979079498, 'recall': 0.936, 'f1-score': 0.9570552147239264, 'support': 500.0}",0.97425,"{'precision': 0.9750196057136672, 'recall': 0.9742500000000001, 'f1-score': 0.974248548744348, 'support': 4000.0}","{'precision': 0.9750196057136673, 'recall': 0.97425, 'f1-score': 0.974248548744348, 'support': 4000.0}",Contrast severity 3,"[0.976, 0.948, 1.0, 1.0, 0.946, 0.994, 0.994, 0.936]"
"{'precision': 0.7310664605873262, 'recall': 0.946, 'f1-score': 0.8247602441150829, 'support': 500.0}","{'precision': 1.0, 'recall': 0.708, 'f1-score': 0.8290398126463701, 'support': 500.0}","{'precision': 0.9960159362549801, 'recall': 1.0, 'f1-score': 0.998003992015968, 'support': 500.0}","{'precision': 0.9124087591240876, 'recall': 1.0, 'f1-score': 0.9541984732824428, 'support': 500.0}","{'precision': 0.953125, 'recall': 0.854, 'f1-score': 0.9008438818565401, 'support': 500.0}","{'precision': 0.9518304431599229, 'recall': 0.988, 'f1-score': 0.9695780176643768, 'support': 500.0}","{'precision': 0.9224952741020794, 'recall': 0.976, 'f1-score': 0.9484936831875608, 'support': 500.0}","{'precision': 0.9668874172185431, 'recall': 0.876, 'f1-score': 0.919202518363064, 'support': 500.0}",0.9185,"{'precision': 0.9292286613058675, 'recall': 0.9185, 'f1-score': 0.9180150778914256, 'support': 4000.0}","{'precision': 0.9292286613058675, 'recall': 0.9185, 'f1-score': 0.9180150778914257, 'support': 4000.0}",Contrast severity 4,"[0.946, 0.708, 1.0, 1.0, 0.854, 0.988, 0.976, 0.876]"
"{'precision': 0.3574620196604111, 'recall': 0.8, 'f1-score': 0.49413218035824585, 'support': 500.0}","{'precision': 1.0, 'recall': 0.136, 'f1-score': 0.23943661971830985, 'support': 500.0}","{'precision': 0.998003992015968, 'recall': 1.0, 'f1-score': 0.999000999000999, 'support': 500.0}","{'precision': 0.6833810888252149, 'recall': 0.954, 'f1-score': 0.7963272120200334, 'support': 500.0}","{'precision': 0.8455284552845529, 'recall': 0.208, 'f1-score': 0.33386837881219905, 'support': 500.0}","{'precision': 0.5622817229336438, 'recall': 0.966, 'f1-score': 0.7108167770419426, 'support': 500.0}","{'precision': 0.7806788511749347, 'recall': 0.598, 'f1-score': 0.6772366930917327, 'support': 500.0}","{'precision': 0.8835341365461847, 'recall': 0.44, 'f1-score': 0.5874499332443258, 'support': 500.0}",0.63775,"{'precision': 0.7638587833051138, 'recall': 0.63775, 'f1-score': 0.6047835991609736, 'support': 4000.0}","{'precision': 0.7638587833051138, 'recall': 0.63775, 'f1-score': 0.6047835991609736, 'support': 4000.0}",Contrast severity 5,"[0.8, 0.136, 1.0, 0.954, 0.208, 0.966, 0.598, 0.44]"
