0,1,2,3,4,5,6,7,accuracy,macro avg,weighted avg,corruption,acuraciaPorClasse
"{'precision': 1.0, 'recall': 0.99, 'f1-score': 0.9949748743718593, 'support': 500.0}","{'precision': 0.998003992015968, 'recall': 1.0, 'f1-score': 0.999000999000999, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.9960159362549801, 'recall': 1.0, 'f1-score': 0.998003992015968, 'support': 500.0}","{'precision': 0.9801980198019802, 'recall': 0.99, 'f1-score': 0.9850746268656716, 'support': 500.0}","{'precision': 0.9939516129032258, 'recall': 0.986, 'f1-score': 0.9899598393574297, 'support': 500.0}","{'precision': 0.9920318725099602, 'recall': 0.996, 'f1-score': 0.9940119760479041, 'support': 500.0}","{'precision': 0.9899799599198397, 'recall': 0.988, 'f1-score': 0.988988988988989, 'support': 500.0}",0.99375,"{'precision': 0.9937726741757442, 'recall': 0.99375, 'f1-score': 0.9937519120811026, 'support': 4000.0}","{'precision': 0.9937726741757442, 'recall': 0.99375, 'f1-score': 0.9937519120811027, 'support': 4000.0}",Gaussian Blur severity 5,"[0.99, 1.0, 1.0, 1.0, 0.99, 0.986, 0.996, 0.988]"
"{'precision': 0.9858299595141701, 'recall': 0.974, 'f1-score': 0.9798792756539235, 'support': 500.0}","{'precision': 1.0, 'recall': 0.986, 'f1-score': 0.9929506545820745, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.9671179883945842, 'recall': 1.0, 'f1-score': 0.983284169124877, 'support': 500.0}","{'precision': 0.9693877551020408, 'recall': 0.95, 'f1-score': 0.9595959595959596, 'support': 500.0}","{'precision': 0.9876543209876543, 'recall': 0.96, 'f1-score': 0.973630831643002, 'support': 500.0}","{'precision': 0.9427480916030534, 'recall': 0.988, 'f1-score': 0.96484375, 'support': 500.0}","{'precision': 0.9616935483870968, 'recall': 0.954, 'f1-score': 0.9578313253012049, 'support': 500.0}",0.9765,"{'precision': 0.9768039579985749, 'recall': 0.9764999999999999, 'f1-score': 0.9765019957376302, 'support': 4000.0}","{'precision': 0.976803957998575, 'recall': 0.9765, 'f1-score': 0.9765019957376302, 'support': 4000.0}",Gaussian Noise severity 1,"[0.974, 0.986, 1.0, 1.0, 0.95, 0.96, 0.988, 0.954]"
"{'precision': 0.9714867617107943, 'recall': 0.954, 'f1-score': 0.9626639757820383, 'support': 500.0}","{'precision': 0.9936842105263158, 'recall': 0.944, 'f1-score': 0.9682051282051282, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.9259259259259259, 'recall': 1.0, 'f1-score': 0.9615384615384616, 'support': 500.0}","{'precision': 0.9443207126948775, 'recall': 0.848, 'f1-score': 0.8935721812434141, 'support': 500.0}","{'precision': 0.9503386004514672, 'recall': 0.842, 'f1-score': 0.8928950159066809, 'support': 500.0}","{'precision': 0.8651488616462347, 'recall': 0.988, 'f1-score': 0.9225023342670402, 'support': 500.0}","{'precision': 0.8738229755178908, 'recall': 0.928, 'f1-score': 0.9000969932104753, 'support': 500.0}",0.938,"{'precision': 0.9405910060591882, 'recall': 0.938, 'f1-score': 0.9376842612691548, 'support': 4000.0}","{'precision': 0.9405910060591883, 'recall': 0.938, 'f1-score': 0.9376842612691548, 'support': 4000.0}",Gaussian Noise severity 2,"[0.954, 0.944, 1.0, 1.0, 0.848, 0.842, 0.988, 0.928]"
"{'precision': 0.972457627118644, 'recall': 0.918, 'f1-score': 0.9444444444444444, 'support': 500.0}","{'precision': 0.9539748953974896, 'recall': 0.912, 'f1-score': 0.9325153374233128, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.8741258741258742, 'recall': 1.0, 'f1-score': 0.9328358208955224, 'support': 500.0}","{'precision': 0.9254498714652957, 'recall': 0.72, 'f1-score': 0.8098987626546682, 'support': 500.0}","{'precision': 0.9396551724137931, 'recall': 0.654, 'f1-score': 0.7712264150943396, 'support': 500.0}","{'precision': 0.7538461538461538, 'recall': 0.98, 'f1-score': 0.8521739130434782, 'support': 500.0}","{'precision': 0.7529610829103215, 'recall': 0.89, 'f1-score': 0.8157653528872594, 'support': 500.0}",0.88425,"{'precision': 0.8965588346596964, 'recall': 0.88425, 'f1-score': 0.8823575058053781, 'support': 4000.0}","{'precision': 0.8965588346596965, 'recall': 0.88425, 'f1-score': 0.8823575058053782, 'support': 4000.0}",Gaussian Noise severity 3,"[0.918, 0.912, 1.0, 1.0, 0.72, 0.654, 0.98, 0.89]"
"{'precision': 0.9653679653679653, 'recall': 0.892, 'f1-score': 0.9272349272349273, 'support': 500.0}","{'precision': 0.9279835390946503, 'recall': 0.902, 'f1-score': 0.9148073022312373, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.8787346221441125, 'recall': 1.0, 'f1-score': 0.9354536950420954, 'support': 500.0}","{'precision': 0.9107142857142857, 'recall': 0.612, 'f1-score': 0.7320574162679426, 'support': 500.0}","{'precision': 0.9267515923566879, 'recall': 0.582, 'f1-score': 0.714987714987715, 'support': 500.0}","{'precision': 0.7076023391812866, 'recall': 0.968, 'f1-score': 0.8175675675675675, 'support': 500.0}","{'precision': 0.6795069337442219, 'recall': 0.882, 'f1-score': 0.7676240208877284, 'support': 500.0}",0.85475,"{'precision': 0.8745826597004013, 'recall': 0.85475, 'f1-score': 0.8512165805274017, 'support': 4000.0}","{'precision': 0.8745826597004014, 'recall': 0.85475, 'f1-score': 0.8512165805274017, 'support': 4000.0}",Gaussian Noise severity 4,"[0.892, 0.902, 1.0, 1.0, 0.612, 0.582, 0.968, 0.882]"
"{'precision': 0.9749430523917996, 'recall': 0.856, 'f1-score': 0.9116080937167199, 'support': 500.0}","{'precision': 0.88, 'recall': 0.924, 'f1-score': 0.9014634146341464, 'support': 500.0}","{'precision': 1.0, 'recall': 0.996, 'f1-score': 0.9979959919839679, 'support': 500.0}","{'precision': 0.8771929824561403, 'recall': 1.0, 'f1-score': 0.9345794392523364, 'support': 500.0}","{'precision': 0.9348659003831418, 'recall': 0.488, 'f1-score': 0.6412614980289093, 'support': 500.0}","{'precision': 0.9213483146067416, 'recall': 0.492, 'f1-score': 0.6414602346805737, 'support': 500.0}","{'precision': 0.663013698630137, 'recall': 0.968, 'f1-score': 0.7869918699186992, 'support': 500.0}","{'precision': 0.6239436619718309, 'recall': 0.886, 'f1-score': 0.7322314049586777, 'support': 500.0}",0.82625,"{'precision': 0.8594134513049739, 'recall': 0.8262499999999999, 'f1-score': 0.8184489933967538, 'support': 4000.0}","{'precision': 0.8594134513049739, 'recall': 0.82625, 'f1-score': 0.8184489933967538, 'support': 4000.0}",Gaussian Noise severity 5,"[0.856, 0.924, 0.996, 1.0, 0.488, 0.492, 0.968, 0.886]"
"{'precision': 1.0, 'recall': 0.99, 'f1-score': 0.9949748743718593, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.9960159362549801, 'recall': 1.0, 'f1-score': 0.998003992015968, 'support': 500.0}","{'precision': 0.9920634920634921, 'recall': 1.0, 'f1-score': 0.9960159362549801, 'support': 500.0}","{'precision': 0.9979959919839679, 'recall': 0.996, 'f1-score': 0.996996996996997, 'support': 500.0}","{'precision': 0.996, 'recall': 0.996, 'f1-score': 0.996, 'support': 500.0}","{'precision': 0.994, 'recall': 0.994, 'f1-score': 0.994, 'support': 500.0}",0.997,"{'precision': 0.997009427537805, 'recall': 0.997, 'f1-score': 0.9969989749549755, 'support': 4000.0}","{'precision': 0.9970094275378051, 'recall': 0.997, 'f1-score': 0.9969989749549755, 'support': 4000.0}",Glass Blur severity 1,"[0.99, 1.0, 1.0, 1.0, 1.0, 0.996, 0.996, 0.994]"
"{'precision': 1.0, 'recall': 0.994, 'f1-score': 0.9969909729187563, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.9960159362549801, 'recall': 1.0, 'f1-score': 0.998003992015968, 'support': 500.0}","{'precision': 0.9940357852882704, 'recall': 1.0, 'f1-score': 0.9970089730807578, 'support': 500.0}","{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}","{'precision': 0.9940239043824701, 'recall': 0.998, 'f1-score': 0.9960079840319361, 'support': 500.0}","{'precision': 0.9979879275653923, 'recall': 0.992, 'f1-score': 0.9949849548645938, 'support': 500.0}",0.99775,"{'precision': 0.9977579441863891, 'recall': 0.9977499999999999, 'f1-score': 0.9977494844888763, 'support': 4000.0}","{'precision': 0.9977579441863891, 'recall': 0.99775, 'f1-score': 0.9977494844888763, 'support': 4000.0}",Glass Blur severity 2,"[0.994, 1.0, 1.0, 1.0, 1.0, 0.998, 0.998, 0.992]"
"{'precision': 1.0, 'recall': 0.992, 'f1-score': 0.9959839357429718, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.9960159362549801, 'recall': 1.0, 'f1-score': 0.998003992015968, 'support': 500.0}","{'precision': 0.9920477137176938, 'recall': 0.998, 'f1-score': 0.9950149551345963, 'support': 500.0}","{'precision': 0.9960079840319361, 'recall': 0.998, 'f1-score': 0.997002997002997, 'support': 500.0}","{'precision': 0.9960079840319361, 'recall': 0.998, 'f1-score': 0.997002997002997, 'support': 500.0}","{'precision': 0.9979879275653923, 'recall': 0.992, 'f1-score': 0.9949849548645938, 'support': 500.0}",0.99725,"{'precision': 0.9972584432002423, 'recall': 0.99725, 'f1-score': 0.9972492289705155, 'support': 4000.0}","{'precision': 0.9972584432002424, 'recall': 0.99725, 'f1-score': 0.9972492289705155, 'support': 4000.0}",Glass Blur severity 3,"[0.992, 1.0, 1.0, 1.0, 0.998, 0.998, 0.998, 0.992]"
"{'precision': 1.0, 'recall': 0.994, 'f1-score': 0.9969909729187563, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.9960159362549801, 'recall': 1.0, 'f1-score': 0.998003992015968, 'support': 500.0}","{'precision': 0.9940357852882704, 'recall': 1.0, 'f1-score': 0.9970089730807578, 'support': 500.0}","{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}","{'precision': 0.9960079840319361, 'recall': 0.998, 'f1-score': 0.997002997002997, 'support': 500.0}","{'precision': 0.9979919678714859, 'recall': 0.994, 'f1-score': 0.9959919839679359, 'support': 500.0}",0.998,"{'precision': 0.9980064591808341, 'recall': 0.998, 'f1-score': 0.9979997397481768, 'support': 4000.0}","{'precision': 0.9980064591808341, 'recall': 0.998, 'f1-score': 0.9979997397481767, 'support': 4000.0}",Glass Blur severity 4,"[0.994, 1.0, 1.0, 1.0, 1.0, 0.998, 0.998, 0.994]"
